Aachen	ɑː k eː n
I	iː
I	iː
I	iː
I	i
I	í
I	iː
I	ɪ
I	ɯː
I	ɯː
I	iː
I	iː
I	iː
I	iː
I	i
I	í
idissla	² iː d ˌɪ s l a
idrott	² iː ˌd r ɔ t
igelkott	ˈiː ɡ ɛ l ˌk ɔ t
igenom	ɪ ˈj eː n ɔ m
ignorera	ɪ ŋ n ʊ ˈr eː r a
ihjäl	ɪ ˈj ɛː l
ihop	ɪ ˈh uː p
ihop	/ e n . w i k t i o n a r y . o r g
IKEA	ɪ ˈk êː a
illa	/ e n . w i k t i o n a r y . o r g
illamående	ɪ l a ˈm oː ɛ n d ɛ
illusion	ɪ l ɵ ˈɧ uː n
ilska	/ e n . w i k t i o n a r y . o r g
ilsken	/ e n . w i k t i o n a r y . o r g
imperfekt	ˈɪ m p ɛ r f ɛ k t
in	ɪ n
in	ɪ n
in	ɪ n
in	ɪ n
in	ɪ n
in	ə n
in	ĩ̄
in	ĩ́
in	ĩ̀
in	ǐ n
inandning	² ɪ n ˌa n d n ɪ ŋ
inbjudan	² ɪ n ˌb j ʉ̟ː d a n
indian	ˌɪ n d ɪ ˈɑː n
infinitiv	ˈɪ n f ɪ n ɪ t iː v
inga	² ɪ ŋ a
ingendera	² ɪ ŋ ɛ n d eː r a
ingenjör	ɪ n ɧ ɛ n ˈj øː r
ingenting	ɪ ŋ ɛ n tʰ ɪ ŋ
inger	² ɪ n ˌj eː r
inkapabel	ˈɪ n k a ˌp ɑː b ɛ l
Inn	ɪ n
innan	² ɪ n a n
innanför	² ɪ n a n ˌf øː r
insexnyckel	ɪ n ˌs ɛ k s ˈn ʏ k ˌɛ l
insjukna	² ɪ n ˌɧ ʉː k n a
inspektion	ɪ n s p ɛ k ˈɧ uː n
instruktion	ɪ n s t r ɵ k ˈɧ uː n
inte	² ɪ n t ɛ
integral	ɪ n t ɛ ˈɡ r aː l
integral	ʔ i n t e ɡ ˈɾ a l
integral	/ e n . w i k t i o n a r y . o r g
integral	/ e n . w i k t i o n a r y . o r g
internationell	ɪ n t ɛ r n a t ɧ ʊ ˈn ɛ l
internet	ˈɪ n t ɛ r n ɛ t
internet	ɪ n t ɛ r ˈn ɛ t
internet	i n . t ɛ ɾ . n ɛ t
intervju	ɪ n t ɛ r ˈv j ʉː
intervju	/ e n . w i k t i o n a r y . o r g
intryck	ɪ n t r ʏ kː
intyg	² ɪ n ˌt yː ɡ
invändig	² ɪ n ˌv ɛ n d ɪ ɡ
iriomotemes	ɪ ɾ ɪ j ɔ ˌm ɔ t ɛ ˈm eː s
iriomotemes	/ e n . w i k t i o n a r y . o r g
Irland	ˈɪ r . l a n d
irra	ˈɪ r ˌa
is	iː s
is	iː s
is	iː s
is	iː ʃ
Isabella	ˌɪ s a ² b ɛ l a
isabellatörnskata	ɪ s a b ɛ l a t øː r n ˈs k ɑː t a
ismås	ˌiː s ˈm oː s
israel	ɪ s r a ˈeː l
Italien	ɪ ˈt ɒː l ɪ ə n
Ivar	ˈiː v a r
j	j iː
j	j
j	ɧ
j	ʒ
j	ʒ eː
j	d͡ʒ
j	d͡ʒ
j	d͡ʒ
j	d͡ʒ í
j	j
j	ɧ
j	ʒ
j	ʒ eː
j	d͡ʒ
j	d͡ʒ
j	d͡ʒ
j	d͡ʒ í
ja	j ɑː
ja	j aː
ja	j a
ja	j ɑː
ja	j aː
ja	j ɑː
ja	d ʒ a
ja	j a
ja	j aː
ja	d͡ʒ a
ja	d͡ʒ à
ja	d͡ʒ á
ja	d͡ʒ á
ja	d͡ʒ á
ja	d͡ʒ á
ja	d͡ʒ á
ja	d͡ʒ á
ja	d͡ʒ á
ja	d͡ʒ á
ja	d͡ʒ á
ja	j ɑː
ja	j aː
ja	j ɑː
ja	d ʒ a
ja	j a
ja	j aː
ja	d͡ʒ a
ja	d͡ʒ à
ja	d͡ʒ á
ja	d͡ʒ á
ja	d͡ʒ á
ja	d͡ʒ á
ja	d͡ʒ á
ja	d͡ʒ á
ja	d͡ʒ á
ja	d͡ʒ á
ja	d͡ʒ á
ja	j ɑː
ja	d ʒ a
ja	j a
ja	j aː
ja	d͡ʒ a
ja	d͡ʒ à
ja	d͡ʒ á
ja	d͡ʒ á
ja	d͡ʒ á
ja	d͡ʒ á
ja	d͡ʒ á
ja	d͡ʒ á
ja	d͡ʒ á
ja	d͡ʒ á
ja	d͡ʒ á
jacka	ˈj a ˌk a
jacka	/ e n . w i k t i o n a r y . o r g
Jacke	² j a k ɛ
jag	j ɑː ɡ
jag	/ e n . w i k t i o n a r y . o r g
jaga	ˈj ɑː ˌɡ a
jaga	/ e n . w i k t i o n a r y . o r g
jaga	/ e n . w i k t i o n a r y . o r g
jak	j ɑː k
jak	/ e n . w i k t i o n a r y . o r g
jaktfalk	j a k t ˈf a l k
jaktfalk	/ e n . w i k t i o n a r y . o r g
jalla	ˈj a l . l a
jalusi	ɧ a l ɵ ˈs iː
jam	j ɑː m
jam	d͡ʒ a m
Jan	/ e n . w i k t i o n a r y . o r g
Jansson	/ e n . w i k t i o n a r y . o r g
januari	j a n ɵ ˈɑː r ɪ
Japan	¹ j ɑː p a n
japan	j a ˈp ɑː n
japanare	j a p ² ɑː ˌn a r ɛ
japansk	j a ˈp ɑː n s k
japanska	j a ˈp ɑː n s k a
jargong	ɧ a r ˈɡ ɔ ŋ
Jasmine	ɧ a s ˈm iː n
Jason	ˈj ɑː s ɔ n
Jennie	¹ j ɛ n ɪ
Jenny	¹ j ɛ n ʏ
Jerusalem	j ɛ ² r ʉː s a ˌl ɛ m
jesuit	j ɛ s ʉ iː t
Jesus	² j eː s ɵ s
Jesus	ˈj eː s ɵ s
jiddra	² j ɪ d r a
jiddra	/ e n . w i k t i o n a r y . o r g
jo	j uː
jo	j oː
jo	j ə
jo	d͡ʒ ó
jo	d͡ʒ ó
jo	d͡ʒ ò
Jocke	² j ʊ k ɛ
jod	j ɔ d
Johan	ˈj ʊ a n
Johanna	j ʊ ² h a n a
joint	j ɔ ɪ n t
joint	d ʒ ɔ ɪ n t
jojk	ˈj ɔ j k
jojk	/ e n . w i k t i o n a r y . o r g
jojka	² j ɔ j k a
jojka	/ e n . w i k t i o n a r y . o r g
jojo	ˈj ʊ ˌj ʊ
jojo	/ e n . w i k t i o n a r y . o r g
jokk	j ɔ k
jokk	/ e n . w i k t i o n a r y . o r g
jolle	ˈj ɔ ˌlː ɛ
Jonas	j uː n a s
Jonas	h o ˈn a s
Jonsson	ˈj ʊ n s ɔ n
Jonte	² j ɔ n t ɛ
joppe	ˈj ɔ ˌpː e
jord	j uː r d
jord	/ e n . w i k t i o n a r y . o r g
jordafärd	² j uː r d a ˌf ɛː r d
jorden	ˈj uː r d ɛ n
jordgubbe	ˈj uː ɖ ˌɡ ɵ b ɛ
jorduggla	j ʊ r d ˈɵ ɡ l a
jordvarg	j uː ɖ v a r j
jota	² j uː t a
journal	ɧ ʊ ˈɳ ɑː l
journalist	ɧ ʊ r n a ˈl ɪ s t
jox	j ʊ k s
ju	j ɵ
ju	j ʉː
ju	ʐ u
ju	d͡ʒ ù
ju	d͡ʒ ù
ju	d͡ʒ ù
judetyska	² j ʉː d ɛ ˌt ʏ s k a
juice	j uː s
juice	/ e n . w i k t i o n a r y . o r g
jul	j ʉː l
jul	ʃ u l
jul	ʃ u l
julas	² j ʉ̟ː l a s
julas	/ e n . w i k t i o n a r y . o r g
julgranskula	² j ʉ̟ː l ɡ r ɑː n s ˌk ʉ̟ː l a
juli	ˈj ʉː l ɪ
julmust	² j ʉ̟ː l ˌm ɵ s t
julmust	/ e n . w i k t i o n a r y . o r g
jungfrukälla	ˈj ʉ ŋ f r ʉː ˌɕ ɛ l ˌa
jungfrutrana	ˌj ɵ ŋ f ɾ ɵ ˈt ɾ ɑː n a
jungfrutrana	/ e n . w i k t i o n a r y . o r g
juni	ˈj ʉː n ɪ
Jupiter	ˈj ʉː p ɪ t ɛ r
Jupiter	ˈj y p i t ɛ r
jury	ˈj ɵ r ʏ
jury	/ e n . w i k t i o n a r y . o r g
juver	ˈj ʉ v ɛ r
jägmästare	² j ɛː ɡ ˌm ɛ s t a r ɛ
jämte	² j ɛ m t ɛ
jämte	/ e n . w i k t i o n a r y . o r g
jämte	/ e n . w i k t i o n a r y . o r g
järn	j ɛː r n
järn	/ e n . w i k t i o n a r y . o r g
järnvägsstation	² j æː ɳ v ɛː ɡ s s t a ˌɧ uː n
järpe	ˌj ɛ ɾ ˈp ɛ
järpe	/ e n . w i k t i o n a r y . o r g
järv	j æ r v
jäst	j ɛ s t
jävel	j ɛː v ɛ l
jävig	ˈj ɛː ˌv ɪ ɡ
Jönköping	ˈj œ n ˌɕ øː p ɪ ŋ
k	k oː
k	k
k	ɕ
k	k
k	ɕ
k	k e i
k	k a
k	k a
k	k
k	k
k	k e i
k	k e i
k	k e i
k	k a
k	k a
k	c
k	c
k	k
k	c eː
k	k aː
k	k ~ q
k	k
k	k í
k	k
k	ɕ
k	k
k	ɕ
k	k e i
k	k a
k	k a
k	k
k	k
k	k e i
k	k e i
k	k e i
k	k a
k	k a
k	c
k	c
k	k
k	c eː
k	k aː
k	k ~ q
k	k
k	k í
K	k oː
K	k
K	ɕ
K	c
K	k
K	c eː
K	k aː
K	k
K	k
K	k
K	k
K	k í
K	k
K	ɕ
K	c
K	k
K	c eː
K	k aː
K	k
K	k
K	k
K	k
K	k í
kackig	ˈk a ˌkː ɪ ɡ
kadmium	ˈk a d m ɪ ɵ m
kaffe	² kʰ a fː ɛ
kaffegök	ˈkʰ a fː e j øː k
kaffepumla	² k a f ɛ ˌp ɵ m l a
kafé	k a ˈf eː
kafé	/ e n . w i k t i o n a r y . o r g
kajak	k a ˈj ɑː k
Kajsa	/ e n . w i k t i o n a r y . o r g
kaka	ˈk ɑ̂ː k a
kaka	k a k a
kaka	k a k a
kaka	k à . k à
kakao	ˈk ɑː k a ʊ
kal	k ɑː l
kal	k a l ˧
kalabalik	k a l a b a ˈl iː k
kalabalik	/ e n . w i k t i o n a r y . o r g
kalcium	ˈk a l s ɪ ɵ m
Kalifornien	k a l ɪ ˈf uː r n ɪ ɛ n
Kalifornien	/ e n . w i k t i o n a r y . o r g
kalium	ˈk ɑː l ɪ ɵ m
kalk	k a l k
kalk	/ e n . w i k t i o n a r y . o r g
kalkon	k a l ˈk uː n
kall	k a l
kalla	² k a lː a
Kalle	² k a l ɛ
kallprat	² k a l ˌp r ɑː t
kalmarit	k a l m a ˈr iː t
kalmarit	/ e n . w i k t i o n a r y . o r g
kam	k a m
kam	c a m
kam	c a m
kamera	ˈk ɑː m ɛ r a
kamera	k a m e ɾ a
kan	k a nː
kan	ˈk ɑ n
kan	k ã̄
kan	k ã̄
kan	k ã̀
kan	k ã́
kan	/ e n . w i k t i o n a r y . o r g
kanadagås	ˌk a n a d a ˈɡ oː s
kanadagås	/ e n . w i k t i o n a r y . o r g
kanadames	k a n a d a ˈm eː s
kanadames	/ e n . w i k t i o n a r y . o r g
kanadensisk	k a n a ˈd ɛ n s ɪ s k
kanelbulle	k a ˈn eː l ˌb ɵ lː ɛ
kanelsnäcka	k a ˈn eː l ˌs n ɛ kː a
kanot	k a ˈn uː t
kanot	k a ˈn oː
kanot	k a ˈn oː
kanot	k a ˈn oː
kanot	k a ˈn oː
kanot	k a ˈn oː
kanske	² k a n ɧ ɛ
kanske	/ e n . w i k t i o n a r y . o r g
kanske	/ e n . w i k t i o n a r y . o r g
kaos	ˈk a ʊ s
kaos	ˈk ɑː ʊ s
kaos	k a . o s
kapmes	k ɑː p ˈm eː s
kapmes	/ e n . w i k t i o n a r y . o r g
kappa	ˈk a ˌpː a
kar	k ɑː r
kar	k a ɾ
karbin	k a r ˈb iː n
karbin	/ e n . w i k t i o n a r y . o r g
kardinal	k a ɖˑ ɪ ˈn ɒː l
Karina	k a ² r iː n a
Karl	k ɑː r l
Karl	/ e n . w i k t i o n a r y . o r g
Karl	/ e n . w i k t i o n a r y . o r g
karl	k ɑː r
Karolina	k a r ʊ ² l iː n a
karolinasumphöna	k a ɾ ʊ ˌl iː n a s ɵ m p ˈh øː n a
karolinasumphöna	/ e n . w i k t i o n a r y . o r g
karolinatita	k a ɾ ʊ l iː n a ˈt iː t a
karolinatita	/ e n . w i k t i o n a r y . o r g
karta	ˈk ɑː r t a
karta	/ e n . w i k t i o n a r y . o r g
kasse	² k a s ɛ
kasus	ˈk ɑː s ɵ s
Katarina	k a t a ² r iː n a
katod	k a ˈt oː d
katod	k a ˈt uː d
Katrina	k a ² t r iː n a
katt	ˈk a tː
katt	/ e n . w i k t i o n a r y . o r g
Kebnekaise	/ e n . w i k t i o n a r y . o r g
kedja	² ɕ eː d j a
kedja	² ɕ ɛː d j a
kedja	² ɕ ɛː d j a
keff	k ɛ f
kejsarörn	ɕ ɛ j s a r ˈøː r n
kemi	ɕ ɛ ˈm iː
kemi	/ e n . w i k t i o n a r y . o r g
keramik	ɕ ɛ r a ˈm iː k
keramik	/ e n . w i k t i o n a r y . o r g
Kerstin	² ɕ æ ʂ t ɪ n
ketchup	ˈk ɛ tː ɕ ɵ p
kex	k ɛ k s
kex	ɕ ɛ k s
kidnappa	² k iː d ˌn a p a
kika	ˈɕ iː ˌk a
kil	ɕ iː l
kil	k i l ˧
kil	k i l ˧
kille	² k ɪ l ɛ
kille	² k ɪ l ɛ
kille	² ɕ ɪ l ɛ
kille	² k ɪ l ɛ
kille	² ɕ ɪ l ɛ
kilo	ˈɕ iː l ʊ
kilo	ˈk iː l ʊ
kilo	k i ˈl o ʔ
kilo	ˈk i l o
kilo	ˈk i l o
kilo	/ e n . w i k t i o n a r y . o r g
kilometer	ɕ ɪ l ʊ ˈm eː t ɛ r
Kimitoön	/ e n . w i k t i o n a r y . o r g
Kina	² ɕ iː n a
kind	ɕ ɪ n d
kinders	ɕ ɪ n . d ɛ r s
kinders	/ e n . w i k t i o n a r y . o r g
kines	ɕ ɪ ˈn eː s
kinesa	ɕ ɪ ˈn eː s a
kinesisk	ɕ ɪ ˈn eː s ɪ s k
kinesiska	ɕ ɪ ˈn eː s ɪ s k a
kiosk	ɕ ɔ s k
kiosk	k ɪ ˈɔ s k
kiosk	k j ɔ s k
kioskmongo	ˈɕ ɔ sː k ˌm ɔ ŋ ɡ ʊ
kioskvältare	ˈɕ o s k ˌv ɛ l t a r ɛ
kirra	² k ɪ r a
kirurg	ɕ ɪ r ˈɵ r ɡ
kis	k i s
kis	ç i s
kis	ç i s
kisel	ˈɕ iː s ɛ l
kiss	k ɪ s
kissa	ˈk ɪ s ˌa
kista	ˈɕ ɪ s ˌt a
kitsch	k ɪ t ɧ
kitschig	ˈk ɪ t ˌɧ ɪ ɡ
kittel	ɕ ɪ ˈt ɛ l
Kjell	ɕ ɛ l
Kjellberg	ˈɕ ɛ l ˌb æ r j
kjol	ɕ uː l
kladdkaka	² k l a d ˌk ɑː k a
klandra	k l a n d r a
klar	ˈk l ɑː r
klarhet	² k l ɑː r ˌh eː t
klinga	² k l ɪ ŋ a
klinga	/ e n . w i k t i o n a r y . o r g
klinga	/ e n . w i k t i o n a r y . o r g
klingonska	k l ɪ ŋ ɔ n s k a
klintbergare	k l iː n t b ɛː r j a r eː
klippduva	ˌk l ɪ p ˈd ʉː v a
klippduva	/ e n . w i k t i o n a r y . o r g
klippkaja	k l ɪ p ˈk a j a
klippsvala	k l ɪ p ˈs v ɑː l a
klittra	ˈk l ɪ t ˌr a
klocka	ˈk l ɔ ˌkː a
klon	k l uː n
klonken	ˈk l ɔ ŋ k ɛ n
klor	k l oː r
klor	k l uː r
klor	/ e n . w i k t i o n a r y . o r g
klor	k l uː r
klor	/ e n . w i k t i o n a r y . o r g
kläde	ˈk l ɛː ˌd ɛ
kläder	ˈk l ɛː d ɛ r
klädhängare	k l ɛ d ˈh ɛ ŋ a r ɛ
klå	k l oː
klå	/ e n . w i k t i o n a r y . o r g
klår	k l oː r
klökas	² k l øː k a s
klökas	/ e n . w i k t i o n a r y . o r g
klösa	² k l øː s a
klösa	/ e n . w i k t i o n a r y . o r g
klösa	/ e n . w i k t i o n a r y . o r g
klövdjur	² k l øː v ˌj ʉː r
klövdjur	/ e n . w i k t i o n a r y . o r g
knaffel	k n a fː ɛ l
knapp	ˈk n a p
knappologi	ˌk n a p ʊ l ʊ ˈɡ iː
knark	k n a r k
knarka	ˈk n a r ˌk a
kned	k n eː d
kned	/ e n . w i k t i o n a r y . o r g
kniv	k n iː v
knoparmoj	² k n uː p a r ˌm ɔ j
knubbsäl	k n ɵ b ˈs ɛː l
knubbsäl	/ e n . w i k t i o n a r y . o r g
knulla	ˈk n ɵ lː a
knut	ˈk n ʉː t
knut	/ e n . w i k t i o n a r y . o r g
knuten	¹ k n ʉː t ɛ n
knuten	² k n ʉː t ɛ n
knuten	² k n ʉː t ɛ n
knä	k n ɛː
knåda	² k n oː d a
knåda	/ e n . w i k t i o n a r y . o r g
knô	k n œː
knö	k n œː
knöl	k n øː l
knöl	k n øː ɽ
knölsvan	ˌk n ø l ˈs v ɑː n
knölsvan	/ e n . w i k t i o n a r y . o r g
knölsvärta	ˌk n ø l ˈs v ɛ ʈ a
knölsvärta	/ e n . w i k t i o n a r y . o r g
ko	k uː
ko	ˈk o
ko	ˈk o
ko	k oː
ko	k o
ko	k ò
ko	k ō
ko	/ e n . w i k t i o n a r y . o r g
kobolt	ˈk uː b ɔ l t
kobolt	ˈk oː b ɔ l t
koboltmes	k uː b ɔ l t ˈm eː s
koboltmes	/ e n . w i k t i o n a r y . o r g
kod	k oː d
kod	k uː d
kofta	ˈk ɔ f ˌt a
kol	k oː l
kol	k o ɫ
kol	/ e n . w i k t i o n a r y . o r g
kolla	ˈk ɔ ˌl a
kolymasnäppa	ˌk ɔ l yː m a ˈs n ɛ p a
kolymasnäppa	/ e n . w i k t i o n a r y . o r g
kom	ˈk ɔ m
komma	² k ɔ m a
komma	ˈk o m a
komma	ˈk o m a
kommer	ˈk ɔ m . ɛ r
kommer	/ e n . w i k t i o n a r y . o r g
kompis	¹ k ɔ m p ɪ s
komplett	k ɔ m ˈp l ɛ t
kon	k uː n
kondition	k ɔ n d ɪ ˈɧ uː n
konflikt	k ɔ n ˈf l ɪ k t
konspiration	k ɔ n s p ɪ r a ˈɧ uː n
konspirationsteoretiker	k ɔ n s p ɪ r a ² ɧ uː n s t ɛ ʊ ˌr eː t ɪ k ɛ r
konspirationsteori	k ɔ n s p ɪ r a ² ɧ uː n s t ɛ ʊ ˌr iː
konst	k ɔ nː s t
konstbefrukta	² k ɔ n s t b ɛ ˌf r ɵ k t a
konstbevattna	² k ɔ n s t b ɛ ˌv a t n a
konstbevattning	² k ɔ n s t b ɛ ˌv a t n ɪ ŋ
konstfiber	² k ɔ n s t ˌf iː b ɛ r
konstgjord	² k ɔ n s t ˌj uː r d
konstgjord	² k ɔ n s t ˌj ʊ r d
konstläder	² k ɔ n s t ˌl ɛː d ɛ r
konstruktion	k ɔ n s t r ɵ k ˈɧ uː n
konsumtion	k ɔ n s ɵ m ˈɧ uː n
kontra	ˈk ɔ n t r a
kontrast	k ʊ n ˈt r a s t
konung	ˈk oː ˌn ɵ ŋ
konungarike	ˈk oː ˌn ɵ ŋ a r iː k ɛ
kopia	k ʊ ² p iː a
kopp	k ɔ p
kopp	/ e n . w i k t i o n a r y . o r g
kopp	/ e n . w i k t i o n a r y . o r g
koppar	ˈk ɔ ˌp a r
kopparand	ˌk ɔ p a ɾ ˈa n d
kopparand	/ e n . w i k t i o n a r y . o r g
koppling	² k ɔ p l ɪ ŋ
kopplingskåpa	² k ɔ p l ɪ ŋ s ˌk oː p a
kor	k uː r
kor	k o ɾ
Korea	k ʊ ² r eː a
korean	k ʊ r eː ˈaː n
korg	k ɔ r j
korn	/ e n . w i k t i o n a r y . o r g
kornknarr	ˌk uː ɳ ˈk n a ɾ
kornknarr	/ e n . w i k t i o n a r y . o r g
korp	k ɔ r p
korshänvisning	² k ɔ r s h ɛː n ˌv iː s n ɪ ŋ
kort	k ɔ r t
kort	k ʊ r t
kort	k ʊ r t
korttålärka	k ɔ r t oː ˈl ɛ r k a
kost	k ɔ s t
kost	/ e n . w i k t i o n a r y . o r g
kostpris	ˌk ɔ s t ˈp r iː s
koxik	ˈk ʊ k s ɪ k
koxik	ˈk ɔ k s ɪ k
koxik	/ e n . w i k t i o n a r y . o r g
koyot	k ʊ ˈj oː t
koyot	/ e n . w i k t i o n a r y . o r g
krabba	ˈk r a ˌbː a
krabbis	k r ɑ bː i s
kraftfull	k r a f t ˈf ɵ l
kragtrapp	ˌk ɾ ɑː ɡ ˈt ɾ a p
kragtrapp	/ e n . w i k t i o n a r y . o r g
kran	k r ɑː n
krans	k r a n s
krans	k r ɑː n s
krans	k r ɑː n s
krav	ˈk ɾ ɑː v
kretensisk	k r ɛ ˈt ɛ n s ɪ s k
kretsschema	ˈk r ɛ t s ˌɧ eː m a
krig	k r iː ɡ
krig	k r i ɡ
krig	k r i ɡ
Kristianstad	k r ɪ ˈɧ a n s t a
Kristina	k r ɪ ² s t iː n a
krita	² k r iː t a
krita	/ e n . w i k t i o n a r y . o r g
krog	k r uː ɡ
krokan	k r ʊ ˈk ɑː n
krokan	k r ɔ ˈk ɑː n
krokan	k r oː ˈk ɑː n
krokan	/ e n . w i k t i o n a r y . o r g
krokben	² k r uː k ˌb eː n
krom	ˈk r oː m
krom	/ e n . w i k t i o n a r y . o r g
krona	ˈk r uː ˌn a
kronor	ˈk r uː n ˌʊ r
kropp	ˈk r ɔ pː
kruka	ˈk r ʉː ˌk a
krusbär	ˈk r ʉ̟ː s b ɛː r
krusbär	² k r ʉ̟ː s ˌb ɛː r
krut	k r ʉː t
kräftskiva	² k r ɛ f t ˌɧ iː v a
kräkning	/ e n . w i k t i o n a r y . o r g
kröka	² k r øː k a
Kuba	ˈk ʉː b a
Kuba	k ú . b à
kudde	ˈk ɵ d ˈd ɛ
kudde	/ e n . w i k t i o n a r y . o r g
kuf	k ʉː f
kugga	/ e n . w i k t i o n a r y . o r g
kuk	k ʉː k
kuk	/ e n . w i k t i o n a r y . o r g
kuksugare	² k ʉː k ˌs ʉː ɡ a r ɛ
kul	k ʉː l
kul	ˈk ʊ l
kul	ˈk ʊ l
kuling	ˈk ʉː l ˌɪ ŋ
kull	k ɵ l
kulör	k ɵ l øː r
kunde	ˈk ɵ n ˌd ə
kung	k ɵ ŋ
kung	k u ŋ
kung	/ e n . w i k t i o n a r y . o r g
kung	/ e n . w i k t i o n a r y . o r g
kungsfiskare	k ɵ ŋ s ˈf ɪ s k a r ɛ
kungsfågel	k ɵ ŋ s ˈf oː ɡ ɛ l
kungsfågelsångare	k ɵ ŋ s f oː ɡ ɛ l ˈs ɔ ŋ a r ɛ
kunna	² k ɵ nː a
kur	k ʉː r
kur	/ e n . w i k t i o n a r y . o r g
kurr	k ɵ r
kurr	/ e n . w i k t i o n a r y . o r g
kurs	k ʉː r s
kurs	/ e n . w i k t i o n a r y . o r g
kuse	² k ʉː s ɛ
kusin	k ɵ ˈs iː n
kusin	/ e n . w i k t i o n a r y . o r g
kustlabb	ˌk ɵ s t ˈl a b
kustpipare	ˌk ɵ s t ˈp iː p a ɾ ɛ
kustpipare	/ e n . w i k t i o n a r y . o r g
kustsnäppa	ˌk ɵ s t ˈs n ɛ p a
kustsnäppa	/ e n . w i k t i o n a r y . o r g
kut	k ʉː t
kut	/ e n . w i k t i o n a r y . o r g
kuta	ˈk ʉː ˌt a
kuta	ˈk u t a ʔ
kuta	ˈk u t a ʔ
kuta	/ e n . w i k t i o n a r y . o r g
kuttrasju	k ɵ t r a ˈɧ ʉː
kuttrasju	/ e n . w i k t i o n a r y . o r g
kuvert	k ɵ ˈv ɛː r
kuvert	/ e n . w i k t i o n a r y . o r g
kvalitet	k v a l ɪ ˈt eː
kvar	k v ɑː r
kvarg	k v a r j
kvart	k v ɑː r t
kvart	/ e n . w i k t i o n a r y . o r g
kvart	/ e n . w i k t i o n a r y . o r g
kvarter	k v a r ˈt eː r
kvasar	k v a ˈs ɑː r
kvicksilver	ˈk v ɪ k ˌs ɪ l v ɛ r
kvinna	ˈk v ɪ nː ˌa
kvinnan	ˈk v ɪ nː ˌa n
kvinnans	k v i nː ˌa n s
kvinnas	k v i nː ˌa s
kvinnor	ˈk v ɪ nː ʊ r
kvinnornas	k v i nː ˌʊ ɳ a s
kvinnors	k v i nː ʊ ʂ
kvist	k v ɪ s t
kvitta	ˈk v ɪ tː a
kvälja	ˈk v ɛ l ˌj a
kvälja	/ e n . w i k t i o n a r y . o r g
kvälja	/ e n . w i k t i o n a r y . o r g
kväll	k v ɛ lː
kvänska	² k v ɛː n s k a
kväve	ˈk v ɛː ˌv ɛ
kyckling	ˈɕ ʏ k ˌl ɪ ŋ
kyrka	² ɕ ʏ r k a
kyrka	² ɕ ø r k a
kysk	ɕ ʏ s k
kyskhet	ˌɕ ʏ s k ˈh eː t
kyss	ɕ ʏ s
kyssa	ˈɕ ʏ s ˌa
käck	ɕ ɛ kː
käftis	ˈɕ ɛ f t ɪ sː
käk	ɕ ɛː k
käka	² ɕ ɛː ˌk a
käke	² ɕ ɛː k ɛ
källa	ˈɕ ɛ l ˌa
källare	ˈɕ ɛ l ˌa r ɛ
källing	² ɕ ɛ l ɪ ŋ
källing	/ e n . w i k t i o n a r y . o r g
känd	ˈɕ ɛ n d
känga	ˈɕ ɛ ŋ ˌa
känguru	ˈɕ ɛ ŋ ɡ ɵ r ɵ
känna	ˈɕ ɛ n . n a
kännspak	ˈt ɕ ɛ n ˌs p ɑː k
kännspak	² ɕ ɛ n ˌs p ɑː k
kännspak	² ɕ ɛ n ˌs p ɑː k
känsel	/ e n . w i k t i o n a r y . o r g
känsla	ˈɕ ɛ n s ˌl a
känt	ˈɕ ɛ n t
käpp	ɕ ɛ p
kär	ɕ ɛː r
kär	/ e n . w i k t i o n a r y . o r g
kär	/ e n . w i k t i o n a r y . o r g
kära	ˈɕ ɛː ˌr a
kärl	ɕ ɛː r l
kärl	/ e n . w i k t i o n a r y . o r g
kärl	/ e n . w i k t i o n a r y . o r g
kärlek	ˈɕ ɛː r ˌl eː k
kärlek	/ e n . w i k t i o n a r y . o r g
kärrhök	ɕ ɛ r ˈh øː k
kärrsnäppa	ˌɕ ɛ r ˈs n ɛ p a
kärrsnäppa	/ e n . w i k t i o n a r y . o r g
kärrsångare	ɕ ɛ r ˈs ɔ ŋ a r ɛ
kärrtärna	ˌɕ ɛ r ˈt ɜ r n a
kå	ˈk oː
kåda	² k oː d a
kåk	k oː k
kål	k oː l
kålrabbi	² k oː l ˌr a b ɪ
kålrabbi	/ e n . w i k t i o n a r y . o r g
kår	k oː r
kår	/ e n . w i k t i o n a r y . o r g
kåt	ˈk oː t
kåt	/ e n . w i k t i o n a r y . o r g
kåta	² k oː t a
kö	k øː
kö	/ e n . w i k t i o n a r y . o r g
köa	² k øː ˌa
kök	ɕ øː k
kökkenmödding	² k œ k ɛ n ˌm œ d ɪ ŋ
köl	ɕ øː l
köl	/ e n . w i k t i o n a r y . o r g
kölna	² ɕ øː l n a
kölna	/ e n . w i k t i o n a r y . o r g
kön	ɕ øː n
kön	k øː n
kön	k øː n
kön	/ e n . w i k t i o n a r y . o r g
kön	k øː n
kön	/ e n . w i k t i o n a r y . o r g
könshår	/ e n . w i k t i o n a r y . o r g
köp	ɕ øː p
köpa	ˈɕ øː ˌp a
Köpenhamn	ɕ øː p ɛ n ˈh a m n
köpstad	² ɕ øː p ˌs t ɑː d
kör	k œː r
kör	ɕ œː r
kör	c œ ɾ
kör	ɕ œː r
kör	c œ ɾ
köra	² ɕ œ̞ː r a
köra	² k œ̞ː r a
köra	² k œ̞ː r a
körandas	² k øː r ˌa n d a s
